"mean","year","ingo_uia","xrcomp","xropen","xconst","parcomp","injud","pop","gdppc","rentspc","military","execrlc","trade_gdp","fdi_net_in","public_trial","fair_trial","final_decision","legislative_ck","structad","imfstruct","common","cat_ratify","cpr_ratify","ythblgap","terrrev","cim","CIE","lagus","lagun","hrordinal","nonhrordinal","cwar","iwar","sd","ccode"
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,1,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,1,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,0,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,0,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,0,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.77048256000901,1983,602,1,4,3,2,1,39910,3468,0,1,3,67.0468292236328,0.0810549184679985,1,0,0,1,0,1,0,0,0,31.7999992370605,0,87.4483466148376,3.52302956581116,0,0,0,0,0,0,0.203808106674734,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
